Country,ConfirmedCases,RecoveredCases,Deaths,Vaccinated
India,45000000.0,44400000.0,533000.0,1700000000.0
USA,103000000.0,100000000.0,1120000.0,676000000.0
Brazil,38000000.0,37000000.0,708000.0,500000000.0
Russia,24000000.0,23500000.0,403000.0,800666666.6666666
UK,25000000.0,24700000.0,232000.0,150000000.0
France,40000000.0,39700000.0,382355.55555555556,160000000.0
Germany,39000000.0,38500000.0,174000.0,180000000.0
Italy,26000000.0,37836666.666666664,192000.0,140000000.0
Japan,33000000.0,32500000.0,74000.0,300000000.0
China,41444444.44444445,230000.0,5200.0,3400000000.0
